1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	
GS	1.92E-01	-2.55E-03	-2.36E+00	-7.74E-01	2.45E-01	-1.01E+00	7.81E-01	8.71E-01	8.29E-01	6.33E-01	0.00E+00	1.67E+00	8.96E-01	1.94E-01	-2.93E+00	-7.34E-01	-2.71E-01	1.17E-01	2.90E-01	3.16E-01	3.09E-01	5.02E-01	1.92E-01	2.21E+00	1.46E+00	-2.36E+00	-7.77E-01	2.45E-01	-1.01E+00	7.82E-01	8.72E-01	8.30E-01	6.35E-01	-2.55E-03	1.67E+00	8.94E-01	-3.65E+00	-2.71E+00	-2.51E+00	-2.35E+00	-2.35E+00	-2.35E+00	-2.51E+00	-2.36E+00	-7.74E-01	-1.39E+00	-1.34E+00	-1.50E+00	-4.18E-01	-3.78E-01	-4.10E-01	-1.12E-01	-7.74E-01	1.54E+00	6.66E-01	-9.36E-01	4.83E-01	5.06E-01	4.87E-01	-2.06E-01	2.45E-01	2.51E-01	2.50E-01	1.14E-01	7.92E-01	7.96E-01	6.10E-01	-1.01E+00	1.48E+00	6.02E-01	8.84E-01	8.75E-01	6.93E-01	7.81E-01	2.27E+00	1.66E+00	8.84E-01	7.21E-01	8.71E-01	2.51E+00	1.88E+00	7.18E-01	8.29E-01	2.50E+00	1.85E+00	6.33E-01	6.33E-01	6.33E-01	1.67E+00	8.96E-01	1.70E+00
GAB1	-9.76E-02	8.25E-04	9.55E-01	-2.18E+00	6.30E-01	-1.37E+00	7.67E-01	8.40E-01	8.06E-01	1.63E-01	0.00E+00	-5.53E-01	-5.67E-01	-9.13E-02	1.33E-01	-2.44E+00	-5.38E-02	-1.71E-01	-6.62E-03	1.61E-02	9.66E-03	-2.02E-01	-9.76E-02	1.08E-01	2.25E-02	9.58E-01	-2.17E+00	6.32E-01	-1.37E+00	7.71E-01	8.44E-01	8.10E-01	1.70E-01	8.25E-04	-5.51E-01	-5.66E-01	-1.27E+00	9.32E-01	8.38E-01	9.65E-01	9.66E-01	9.64E-01	4.14E-01	9.55E-01	1.14E+00	1.08E+00	-1.49E+00	-4.36E+00	-1.46E+00	-1.39E+00	-1.44E+00	-2.27E+00	-2.18E+00	-3.55E+00	-3.41E+00	-3.95E-01	8.05E-01	8.21E-01	8.07E-01	2.70E-01	6.30E-01	6.29E-01	6.29E-01	1.24E-01	7.76E-01	7.79E-01	1.40E-01	-1.37E+00	-1.10E+00	-1.27E+00	8.50E-01	8.43E-01	2.22E-01	7.67E-01	6.90E-01	7.20E-01	8.50E-01	2.49E-01	8.40E-01	1.02E+00	9.64E-01	2.47E-01	8.06E-01	1.01E+00	9.38E-01	1.63E-01	1.59E-01	1.60E-01	-5.53E-01	-5.67E-01	-5.50E-01
IRS	1.96E-04	-1.13E-06	-4.28E-04	6.21E-04	-1.83E+00	2.68E-04	-2.95E-04	-3.40E-04	-3.24E-04	7.44E-01	0.00E+00	3.01E+00	2.07E+00	1.94E-04	1.15E-04	6.55E-04	-1.83E+00	2.17E-04	1.71E-04	1.61E-04	1.64E-04	7.45E-01	1.96E-04	3.01E+00	2.07E+00	-4.30E-04	6.20E-04	-1.83E+00	2.68E-04	-2.97E-04	-3.43E-04	-3.27E-04	7.44E-01	-1.13E-06	3.01E+00	2.07E+00	5.22E-04	-1.83E+00	-3.63E-04	-4.35E-04	-4.35E-04	-4.34E-04	7.45E-01	-4.28E-04	3.01E+00	2.07E+00	-1.83E+00	7.19E-04	5.44E-04	5.34E-04	5.42E-04	7.44E-01	6.21E-04	3.01E+00	2.07E+00	-1.83E+00	-1.83E+00	-1.83E+00	-1.83E+00	-4.32E+00	-1.83E+00	-1.78E+00	-1.79E+00	-7.49E-05	-3.04E-04	-3.12E-04	7.44E-01	2.68E-04	3.01E+00	2.07E+00	-3.48E-04	-3.43E-04	7.45E-01	-2.95E-04	3.01E+00	2.07E+00	-3.48E-04	7.45E-01	-3.40E-04	3.01E+00	2.07E+00	7.45E-01	-3.24E-04	3.01E+00	2.07E+00	7.44E-01	7.47E-01	7.46E-01	3.01E+00	2.07E+00	3.04E+00
RasGAP	-8.83E-04	2.65E-05	1.23E-02	-1.02E-02	8.73E-02	-3.33E+00	9.19E-03	1.03E-02	9.80E-03	-1.69E+00	0.00E+00	-2.50E-01	-1.04E-01	-8.11E-04	1.28E-03	-1.07E-02	8.00E-02	-3.32E+00	-8.43E-05	1.23E-04	6.42E-05	-1.70E+00	-8.83E-04	-2.44E-01	-9.90E-02	1.24E-02	-1.01E-02	8.73E-02	-3.33E+00	9.26E-03	1.04E-02	9.88E-03	-1.69E+00	2.65E-05	-2.50E-01	-1.04E-01	-7.57E-03	9.18E-02	-3.31E+00	1.25E-02	1.25E-02	1.25E-02	-1.68E+00	1.23E-02	-2.27E-01	-8.37E-02	7.25E-02	-3.33E+00	-8.28E-03	-8.03E-03	-8.22E-03	-1.73E+00	-1.02E-02	-2.59E-01	-1.12E-01	-3.24E+00	8.97E-02	9.00E-02	8.98E-02	4.46E-02	8.73E-02	8.52E-02	8.55E-02	-3.32E+00	-3.31E+00	-3.31E+00	-5.01E+00	-3.33E+00	-3.58E+00	-3.43E+00	1.05E-02	1.04E-02	-1.69E+00	9.19E-03	-2.36E-01	-9.03E-02	1.05E-02	-1.69E+00	1.03E-02	-2.30E-01	-8.61E-02	-1.69E+00	9.80E-03	-2.30E-01	-8.66E-02	-1.69E+00	-1.70E+00	-1.70E+00	-2.50E-01	-1.04E-01	-2.58E-01
RAS	1.77E-01	-2.55E-03	-2.41E+00	-7.94E-01	1.64E-01	1.16E+00	-9.93E-01	8.58E-01	8.17E-01	1.85E+00	0.00E+00	1.95E+00	1.05E+00	1.79E-01	-2.97E+00	-7.53E-01	-3.64E-01	2.05E+00	-1.47E+00	2.98E-01	2.91E-01	1.71E+00	1.77E-01	2.49E+00	1.59E+00	-2.42E+00	-7.97E-01	1.64E-01	1.16E+00	-9.92E-01	8.59E-01	8.18E-01	1.85E+00	-2.55E-03	1.95E+00	1.04E+00	-3.68E+00	-2.83E+00	-6.80E-01	-4.11E+00	-2.40E+00	-2.40E+00	-1.38E+00	-2.41E+00	-6.26E-01	-1.34E+00	-1.44E+00	4.74E-01	-2.17E+00	-3.99E-01	-4.30E-01	1.10E+00	-7.94E-01	1.80E+00	7.98E-01	1.19E+00	-1.35E+00	4.15E-01	3.97E-01	-2.77E-01	1.64E-01	1.71E-01	1.70E-01	2.63E-01	2.76E+00	2.77E+00	2.98E+00	1.16E+00	3.90E+00	2.98E+00	-8.95E-01	-9.04E-01	7.24E-02	-9.93E-01	6.50E-01	-2.99E-02	8.71E-01	1.93E+00	8.58E-01	2.80E+00	2.01E+00	1.93E+00	8.17E-01	2.79E+00	1.99E+00	1.85E+00	1.86E+00	1.86E+00	1.95E+00	1.05E+00	1.98E+00
RAF	1.27E+00	6.88E-04	-3.31E+00	-1.35E+00	-4.98E-01	2.24E+00	-1.79E+00	-3.25E+00	5.99E-01	2.27E+00	0.00E+00	2.20E+00	1.70E+00	1.27E+00	-2.76E+00	4.83E-01	-1.37E-01	2.73E+00	-9.66E-01	-2.78E+00	1.30E+00	2.34E+00	1.27E+00	2.69E+00	2.41E+00	-3.31E+00	-1.35E+00	-4.97E-01	2.25E+00	-1.78E+00	-3.25E+00	6.02E-01	2.28E+00	6.88E-04	2.20E+00	1.70E+00	-4.58E+00	-3.81E+00	-1.37E+00	-5.04E+00	-6.39E+00	-3.30E+00	-1.14E+00	-3.31E+00	-1.36E+00	-2.07E+00	-2.36E+00	1.50E+00	-3.02E+00	-4.41E+00	-1.01E+00	1.73E+00	-1.35E+00	1.90E+00	1.18E+00	1.51E+00	-2.28E+00	-3.71E+00	-3.17E-01	-1.16E+00	-4.98E-01	-4.90E-01	-4.91E-01	2.30E-01	-1.67E+00	2.58E+00	2.84E+00	2.24E+00	2.91E+00	2.79E+00	-4.91E+00	-1.70E+00	5.29E-01	-1.79E+00	2.89E-01	-4.34E-01	-3.24E+00	-1.47E+00	-3.25E+00	-1.63E+00	-2.18E+00	2.30E+00	5.99E-01	2.48E+00	2.08E+00	2.27E+00	2.28E+00	2.28E+00	2.20E+00	1.70E+00	2.21E+00
MEK	-8.00E-01	8.79E-04	-2.94E+00	-1.02E+00	-4.00E-01	7.96E-01	-1.50E+00	-2.89E+00	-1.59E+00	-8.83E-01	0.00E+00	6.78E-01	6.36E-01	-7.99E-01	-3.36E+00	-1.06E+00	-1.38E+00	-5.08E-01	-1.90E+00	-3.38E+00	-2.46E+00	-2.24E+00	-8.00E-01	-6.14E-01	-5.98E-01	-2.94E+00	-1.02E+00	-3.99E-01	7.96E-01	-1.50E+00	-2.89E+00	-1.59E+00	-8.82E-01	8.79E-04	6.78E-01	6.36E-01	-4.17E+00	-3.41E+00	-1.10E+00	-4.64E+00	-5.98E+00	-4.46E+00	-2.37E+00	-2.94E+00	-1.23E+00	-1.76E+00	-2.02E+00	6.42E-01	-2.63E+00	-4.00E+00	-2.44E+00	-9.93E-01	-1.02E+00	6.11E-01	4.80E-01	6.79E-01	-1.94E+00	-3.32E+00	-2.03E+00	-1.02E+00	-4.00E-01	-3.96E-01	-3.96E-01	1.07E-01	-1.40E+00	-1.18E+00	-7.95E-01	7.96E-01	7.85E-01	8.25E-01	-4.51E+00	-3.04E+00	-1.40E+00	-1.50E+00	-1.86E-02	-3.86E-01	-4.41E+00	-2.59E+00	-2.89E+00	-1.46E+00	-1.88E+00	-2.54E+00	-1.59E+00	-1.26E+00	-1.27E+00	-8.83E-01	-8.92E-01	-8.91E-01	6.78E-01	6.36E-01	6.76E-01
PI3K	1.06E-04	-3.80E-07	4.88E-04	-1.65E-04	-1.38E+00	-3.27E-04	3.84E-04	4.25E-04	4.02E-04	-2.87E+00	0.00E+00	2.31E+00	1.71E+00	1.08E-04	1.86E-04	-1.71E-04	-1.39E+00	8.18E-05	1.39E-04	1.46E-04	1.44E-04	-2.86E+00	1.06E-04	2.31E+00	1.71E+00	4.89E-04	-1.65E-04	-1.38E+00	-3.28E-04	3.85E-04	4.27E-04	4.04E-04	-2.87E+00	-3.80E-07	2.31E+00	1.71E+00	-7.22E-05	-1.38E+00	4.06E-04	4.94E-04	4.95E-04	4.94E-04	-2.86E+00	4.88E-04	2.31E+00	1.71E+00	-1.39E+00	-2.38E-04	-1.01E-04	-9.32E-05	-1.01E-04	-2.87E+00	-1.65E-04	2.31E+00	1.71E+00	-1.39E+00	-1.38E+00	-1.38E+00	-1.38E+00	-5.87E+00	-1.38E+00	-1.35E+00	-1.36E+00	1.62E-05	3.86E-04	3.82E-04	-2.87E+00	-3.27E-04	2.31E+00	1.71E+00	4.31E-04	4.27E-04	-2.86E+00	3.84E-04	2.31E+00	1.71E+00	4.31E-04	-2.86E+00	4.25E-04	2.31E+00	1.71E+00	-2.86E+00	4.02E-04	2.31E+00	1.71E+00	-2.87E+00	-2.86E+00	-2.86E+00	2.31E+00	1.71E+00	2.32E+00
PIP3	1.16E-04	-3.56E-07	5.13E-04	-1.49E-04	-1.38E+00	-3.27E-04	4.03E-04	4.50E-04	4.22E-04	-2.86E+00	0.00E+00	2.31E+00	1.71E+00	1.18E-04	2.12E-04	-1.55E-04	-1.39E+00	8.58E-05	1.61E-04	1.72E-04	1.68E-04	-2.86E+00	1.16E-04	2.31E+00	1.71E+00	5.14E-04	-1.49E-04	-1.38E+00	-3.28E-04	4.05E-04	4.52E-04	4.24E-04	-2.86E+00	-3.56E-07	2.31E+00	1.71E+00	-5.49E-05	-1.38E+00	4.21E-04	5.20E-04	5.21E-04	5.20E-04	-2.86E+00	5.13E-04	2.31E+00	1.71E+00	-1.39E+00	-2.23E-04	-8.43E-05	-7.59E-05	-8.36E-05	-2.86E+00	-1.49E-04	2.31E+00	1.71E+00	-1.39E+00	-1.38E+00	-1.38E+00	-1.38E+00	-5.88E+00	-1.38E+00	-1.35E+00	-1.36E+00	9.37E-06	4.04E-04	3.99E-04	-2.86E+00	-3.27E-04	2.31E+00	1.71E+00	4.57E-04	4.52E-04	-2.86E+00	4.03E-04	2.31E+00	1.71E+00	4.57E-04	-2.86E+00	4.50E-04	2.31E+00	1.71E+00	-2.86E+00	4.22E-04	2.31E+00	1.71E+00	-2.86E+00	-2.86E+00	-2.86E+00	2.31E+00	1.71E+00	2.32E+00
PDK1	9.06E-05	-2.78E-07	3.99E-04	-1.16E-04	-1.17E+00	-2.55E-04	3.14E-04	3.50E-04	3.29E-04	-2.56E+00	0.00E+00	-1.92E+00	1.12E+00	9.17E-05	1.65E-04	-1.21E-04	-1.17E+00	6.67E-05	1.25E-04	1.33E-04	1.31E-04	-2.56E+00	9.06E-05	-1.92E+00	1.12E+00	4.00E-04	-1.16E-04	-1.17E+00	-2.55E-04	3.15E-04	3.52E-04	3.30E-04	-2.56E+00	-2.78E-07	-1.92E+00	1.12E+00	-4.29E-05	-1.17E+00	3.27E-04	4.05E-04	4.05E-04	4.04E-04	-2.55E+00	3.99E-04	-1.92E+00	1.12E+00	-1.18E+00	-1.74E-04	-6.58E-05	-5.92E-05	-6.53E-05	-2.56E+00	-1.16E-04	-1.92E+00	1.12E+00	-1.17E+00	-1.17E+00	-1.17E+00	-1.17E+00	-5.52E+00	-1.17E+00	-4.46E+00	-1.15E+00	7.38E-06	3.14E-04	3.10E-04	-2.56E+00	-2.55E-04	-1.92E+00	1.12E+00	3.56E-04	3.52E-04	-2.56E+00	3.14E-04	-1.92E+00	1.12E+00	3.56E-04	-2.55E+00	3.50E-04	-1.92E+00	1.12E+00	-2.56E+00	3.29E-04	-1.92E+00	1.12E+00	-2.56E+00	-5.88E+00	-2.55E+00	-1.92E+00	1.12E+00	-1.92E+00
mTOR	4.64E-04	-1.44E-06	2.05E-03	-6.02E-04	-3.92E+00	-1.31E-03	1.61E-03	1.80E-03	1.68E-03	-5.90E+00	0.00E+00	-5.09E+00	-5.25E-01	4.70E-04	8.43E-04	-6.24E-04	-3.93E+00	3.42E-04	6.39E-04	6.83E-04	6.68E-04	-5.90E+00	4.64E-04	-5.09E+00	-5.25E-01	2.05E-03	-6.02E-04	-3.92E+00	-1.31E-03	1.62E-03	1.80E-03	1.69E-03	-5.90E+00	-1.44E-06	-5.09E+00	-5.25E-01	-2.27E-04	-3.92E+00	1.68E-03	2.07E-03	2.08E-03	2.07E-03	-5.90E+00	2.05E-03	-5.09E+00	-5.25E-01	-3.93E+00	-8.99E-04	-3.44E-04	-3.10E-04	-3.41E-04	-5.90E+00	-6.02E-04	-5.09E+00	-5.25E-01	-3.93E+00	-3.92E+00	-3.92E+00	-3.92E+00	-9.12E+00	-3.92E+00	-8.02E+00	-6.34E+00	4.01E-05	1.61E-03	1.59E-03	-5.90E+00	-1.31E-03	-5.09E+00	-5.25E-01	1.82E-03	1.80E-03	-5.90E+00	1.61E-03	-5.09E+00	-5.25E-01	1.82E-03	-5.90E+00	1.80E-03	-5.09E+00	-5.25E-01	-5.90E+00	1.68E-03	-5.09E+00	-5.25E-01	-5.90E+00	-9.48E+00	-8.36E+00	-5.09E+00	-5.25E-01	-7.55E+00
ERK	-9.22E-01	1.10E-03	-3.16E+00	-1.13E+00	-4.77E-01	9.15E-01	-1.66E+00	-3.11E+00	-1.77E+00	-1.01E+00	0.00E+00	7.69E-01	7.23E-01	-9.21E-01	-3.58E+00	-1.20E+00	-1.55E+00	-6.01E-01	-2.08E+00	-3.61E+00	-2.67E+00	-2.44E+00	-9.22E-01	-7.19E-01	-7.02E-01	-3.17E+00	-1.13E+00	-4.77E-01	9.15E-01	-1.66E+00	-3.11E+00	-1.76E+00	-1.01E+00	1.10E-03	7.70E-01	7.23E-01	-4.40E+00	-3.64E+00	-1.24E+00	-4.88E+00	-6.23E+00	-4.70E+00	-2.59E+00	-3.16E+00	-1.38E+00	-1.94E+00	-2.21E+00	7.37E-01	-2.84E+00	-4.24E+00	-2.64E+00	-1.13E+00	-1.13E+00	6.89E-01	5.41E-01	7.73E-01	-2.14E+00	-3.55E+00	-2.23E+00	-1.17E+00	-4.77E-01	-4.73E-01	-4.73E-01	1.15E-01	-1.56E+00	-1.33E+00	-9.10E-01	9.15E-01	8.98E-01	9.46E-01	-4.76E+00	-3.26E+00	-1.57E+00	-1.66E+00	-4.82E-02	-4.52E-01	-4.65E+00	-2.80E+00	-3.11E+00	-1.63E+00	-2.06E+00	-2.75E+00	-1.77E+00	-1.42E+00	-1.43E+00	-1.01E+00	-1.02E+00	-1.02E+00	7.69E-01	7.23E-01	7.68E-01
AKT	4.61E-04	-1.42E-06	2.03E-03	-5.97E-04	-3.91E+00	-1.30E-03	1.60E-03	1.78E-03	1.67E-03	-5.89E+00	0.00E+00	-5.08E+00	2.26E+00	4.67E-04	8.38E-04	-6.19E-04	-3.91E+00	3.40E-04	6.35E-04	6.79E-04	6.64E-04	-5.89E+00	4.61E-04	-5.08E+00	2.26E+00	2.04E-03	-5.96E-04	-3.91E+00	-1.30E-03	1.60E-03	1.79E-03	1.68E-03	-5.89E+00	-1.42E-06	-5.08E+00	2.26E+00	-2.23E-04	-3.90E+00	1.67E-03	2.06E-03	2.06E-03	2.06E-03	-5.89E+00	2.03E-03	-5.08E+00	2.26E+00	-3.92E+00	-8.91E-04	-3.40E-04	-3.06E-04	-3.37E-04	-5.89E+00	-5.97E-04	-5.08E+00	2.26E+00	-3.91E+00	-3.91E+00	-3.90E+00	-3.91E+00	-9.10E+00	-3.91E+00	-8.00E+00	-3.86E+00	3.92E-05	1.60E-03	1.58E-03	-5.89E+00	-1.30E-03	-5.08E+00	2.26E+00	1.81E-03	1.79E-03	-5.89E+00	1.60E-03	-5.08E+00	2.26E+00	1.81E-03	-5.89E+00	1.78E-03	-5.08E+00	2.26E+00	-5.89E+00	1.67E-03	-5.08E+00	2.26E+00	-5.89E+00	-9.46E+00	-5.89E+00	-5.08E+00	2.26E+00	-5.07E+00
